TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_FRED_TIMESERIES,GEO_ID,1,,YES,TEXT,11,44,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,a unique identifier for a place
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_FRED_TIMESERIES,UNIT,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unit of measure for the value, such as dollars, percent, or ratio"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_FRED_TIMESERIES,VARIABLE_NAME,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,English name for the variable
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_FRED_TIMESERIES,VARIABLE,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,a unique identifier for a variable joinable to the attributes table
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_FRED_TIMESERIES,VALUE,5,,YES,FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,the actual numeric value for the variable
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_FRED_TIMESERIES,DATE,4,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Date associated with the value, which is set to the last day of the reporting period."
