TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,VARIABLE_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable description for the variable
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,SEASONALLY_ADJUSTED,6,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Boolean field indicating if a series is seasonally adjusted
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,FREQUENCY,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Frequency of the variable measurement (e.g., Daily, Monthly, Quarterly)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,UNIT,7,,YES,TEXT,5,20,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unit of measure for the variable:  (e.g., Index)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,INDEX_TYPE,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Type of House Price Index measured in the index (all-transactions, purchase-only, expanded-data)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,PROPERTY_CLASSIFICATION,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"House Price Index classification (traditional, distress-free, non-metro)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FHFA_HOUSE_PRICE_ATTRIBUTES,VARIABLE,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier for a variable joinable to the timeseries table for filtering
