TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,CIK,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Central Index Key (CIK). Ten digit number assigned by the Commission to each registrant that submits filings.
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,DAYS_IN_PERIOD,7,,YES,NUMBER,,,10,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The # of days in the Fiscal Period Focus.
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,COMPANY_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of registrant. This corresponds to the name of the legal entity as recorded in EDGAR as of the filing date.
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,PERIOD_START_DATE,5,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The Fiscal Period Start Date.
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,FISCAL_PERIOD,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Fiscal Period (e.g., Q1, Q2, Q3, FY)."
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,FISCAL_YEAR,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Fiscal Year Focus.
SEC_FILINGS,CYBERSYN,SEC_FISCAL_CALENDARS,PERIOD_END_DATE,6,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The Fiscal Period End Date.
