TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,QUOTE_CURRENCY_NAME,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Long name of quote currency
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,VALUE,8,,YES,FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Price for the base currency in terms of the quote currency
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,VARIABLE,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier for the currency pair
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,QUOTE_CURRENCY_ID,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,ISO 4217 currency code for the quote currency
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,VARIABLE_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A human-readable unique identifier for the currency pair
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,DATE,7,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Date for the foreign exchange spot rate
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,BASE_CURRENCY_ID,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,ISO 4217 currency code for the base currency
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FX_RATES_TIMESERIES,BASE_CURRENCY_NAME,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Long name of base currency
