TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,PUBLIC_HOLIDAY_CALENDAR,IS_FINANCIAL,6,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Boolean denoting a stock market closure for the given region
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,PUBLIC_HOLIDAY_CALENDAR,DATE,3,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Date associated with the event
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,PUBLIC_HOLIDAY_CALENDAR,GEO_ID,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,GEO_ID from GEOGRAPHY_INDEX table
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,PUBLIC_HOLIDAY_CALENDAR,HOLIDAY_NAME,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the Holiday
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,PUBLIC_HOLIDAY_CALENDAR,ISO_ALPHA2,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,2 letter country code from International Organization for Standardization
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,PUBLIC_HOLIDAY_CALENDAR,SUBDIVISION,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"State, province, or other underlying geography that is specific to the holiday"
